feature,mean_abs_shap
age_at_initial_pathologic_diagnosis,0.02475277629812699
gene.KLHL23,0.015906545241117846
gene.LRRCC1,0.01571661414795548
gene.KIF11,0.015714915389256026
gene.DTL,0.015684166445572436
gene.GAS2L3,0.015543144015642255
gene.KIF18A,0.015523352271898239
gene.DNA2,0.015398544474666685
gene.KIAA1549,0.015387393948752794
gene.ASPM,0.015321052001080606
gene.SMC4,0.01528720260607873
gene.ESCO2,0.015257513006899695
gene.ZNF367,0.01523776147934369
gene.XRCC2,0.01523586090418361
gene.CKAP2L,0.015223185640961178
gene.FAXC,0.01515864448114461
gene.CLU,0.015146291980468136
gene.CENPE,0.015135189900004299
gene.RTKN2,0.015126462636625754
gene.TET1,0.015111639955499948
gene.ECT2,0.015102951513191607
gene.UHRF1,0.015096271197745937
gene.CENPF,0.015091474079675888
gene.BUB1B,0.015065911328121594
gene.PRKDC,0.015063623522020368
gene.TOP2A,0.015006523678271452
gene.CIP2A,0.015001043775585962
gene.CCNE2,0.014992823797553494
gene.ZNF724,0.014963978639749813
gene.KIF21A,0.01495418395503487
gene.KNL1,0.014933292315258636
gene.CENPI,0.014929559072589527
gene.ATAD2,0.014928796921579814
gene.CENPK,0.014897051498347896
gene.BRIP1,0.014892545151467738
gene.KIF14,0.014881808514442473
gene.HLTF,0.014880820407208005
gene.ZNF610,0.014854774276499817
gene.MTBP,0.014848206340384891
gene.TYMS,0.01483707157658979
gene.E2F7,0.014812918818903498
gene.WNK2,0.014810682143704663
gene.KIF15,0.014804324346962904
gene.MAD2L1,0.01480408199000165
gene.RAD51AP1,0.01480049592997149
gene.ARHGAP11A,0.014796566605082167
gene.NEK2,0.014785887556918465
gene.AC068831.6,0.014777241744076783
gene.STIL,0.014771801873547107
gene.KIF23,0.014766673376559682
gene.MCM2,0.014729152590134345
gene.FANCB,0.014724413084032384
gene.MDK,0.01469183581217071
gene.HSPA4L,0.01469081405902379
gene.FOXM1,0.014684693590353098
gene.BLM,0.01468023971032911
gene.PBK,0.0146691651327142
gene.C18orf54,0.014608544002085286
gene.DNAJC6,0.014602991434574601
gene.BUB1,0.014586271810920903
gene.POLQ,0.014556475386009115
gene.ZNF714,0.014532865772324398
gene.SNCG,0.01453178298337115
gene.KIF4A,0.014513240043004545
gene.GINS4,0.014511054873954208
gene.SIX4,0.0144901813890566
gene.CHMP4C,0.014479186646214285
gene.NCAPG,0.014478792475153468
gene.GTSE1,0.014478123342406507
gene.CLDN5,0.01445627237868558
gene.ERCC6L,0.014432610151281184
gene.SQLE,0.014395994310071767
gene.DLGAP5,0.014376976158161825
gene.KIF20A,0.014367385961983904
gene.HMMR,0.014357091971218454
gene.MKI67,0.014347006073850858
gene.KANK3,0.014311976786965799
gene.IQGAP3,0.014300480632486455
gene.GPSM2,0.014298991904115755
gene.CLSPN,0.014298974593386062
gene.ZYG11A,0.014297738610222935
gene.NEIL3,0.014289144607607723
