feature,mean_abs_shap
VAE_22,0.09455501147449061
VAE_15,0.08900780961179934
VAE_28,0.07785928946203406
VAE_25,0.07551839981053057
VAE_37,0.06757548542706471
VAE_23,0.06388752616692915
VAE_49,0.06050150645298464
VAE_17,0.056400122836332715
VAE_1,0.05599297739668697
VAE_18,0.05512312199647693
VAE_33,0.052098998340971224
VAE_40,0.051431613429744255
VAE_32,0.05088871336674351
VAE_47,0.049292021630959866
VAE_16,0.04852353339526247
VAE_43,0.04245177103733411
VAE_44,0.042001629986645465
VAE_34,0.040778944456540456
VAE_4,0.04061093071878321
VAE_35,0.04052425863410632
VAE_11,0.03908924228107435
VAE_13,0.03899638074141018
VAE_0,0.038958750738128524
VAE_9,0.0375885878232036
VAE_30,0.03744819308483224
VAE_10,0.037278979610981276
VAE_38,0.037235069336134324
VAE_42,0.03722307394924758
VAE_31,0.037209511983280145
VAE_12,0.03712349302605638
VAE_21,0.03643585268593211
VAE_26,0.034544533377019265
age_at_initial_pathologic_diagnosis,0.03436676074668078
VAE_39,0.03423144531313926
VAE_2,0.03235859381068876
VAE_7,0.03210734352639033
VAE_3,0.031999732228624844
VAE_36,0.03165009530916875
VAE_29,0.03142379170981626
VAE_14,0.030890417976083825
VAE_20,0.03084551772043881
VAE_8,0.030291546072559794
VAE_46,0.02953438326784223
VAE_45,0.029129160127835632
VAE_5,0.028030820884029115
VAE_27,0.02783261421462892
VAE_41,0.027037671894203613
VAE_24,0.02666220165851914
pathologic_stage_Stage IIA,0.026199051482729024
VAE_48,0.0261381989603221
VAE_19,0.025178506189671886
VAE_6,0.02360825976908228
pathologic_stage_Stage IIIA,0.02096902341280239
pathologic_stage_Stage I,0.010419745163571779
pathologic_stage_Stage IA,0.009995271143152082
pathologic_stage_Stage IIB,0.009922675755870903
pathologic_stage_Stage IIIC,0.0037213433237579946
