feature,mean_abs_shap
VAE_8,0.1934907250132021
VAE_2,0.13667661284715174
VAE_23,0.13575546793576102
VAE_11,0.11613837488802556
VAE_27,0.11413278378282717
VAE_14,0.11322103261797793
VAE_6,0.10959318247677986
VAE_15,0.1054711677702279
VAE_36,0.10418330474668386
VAE_33,0.0959018846279763
VAE_13,0.09009619749486765
VAE_25,0.08963460865324578
VAE_47,0.08774704844688984
VAE_1,0.08739214631847068
VAE_41,0.08677158655259631
VAE_28,0.08556290615273432
VAE_40,0.08321627264534218
VAE_9,0.08032272213877256
VAE_4,0.07696380318356678
VAE_38,0.07543643920874837
VAE_34,0.07446854535444064
VAE_17,0.07369224678711427
VAE_49,0.07238148562683515
VAE_5,0.0702015093260405
VAE_45,0.0692847238005338
VAE_43,0.06517131258847803
VAE_22,0.06480379980394586
VAE_30,0.06434448224039256
VAE_31,0.06355993220701878
VAE_16,0.06271024564414489
VAE_46,0.05917274463423596
age_at_initial_pathologic_diagnosis,0.05874967460937756
VAE_7,0.05785023380980771
VAE_32,0.05742641647096259
VAE_18,0.05607109697517956
VAE_29,0.05452807059389613
VAE_19,0.05229964284043813
VAE_35,0.05088494113285953
VAE_20,0.05008880747142432
VAE_21,0.04813882623713534
VAE_10,0.04720053785819716
VAE_37,0.0441336665002269
pathologic_stage_Stage IIIA,0.041527210564048816
VAE_24,0.03923599029802657
VAE_3,0.0385454648746487
VAE_44,0.03726492828810413
VAE_48,0.03701706449547057
VAE_0,0.03251547791913714
VAE_39,0.03222308088656573
VAE_42,0.032115183851192365
VAE_26,0.0318784445592938
VAE_12,0.027727519873101316
pathologic_stage_Stage I,0.022055718403475175
pathologic_stage_Stage IIB,0.019195422294311565
pathologic_stage_Stage IIA,0.018540689979518986
pathologic_stage_Stage IA,0.015170623286796902
pathologic_stage_Stage IIIC,0.00393360745071252
