model_id,sample_id,feature,shap_value
0,0,age_at_initial_pathologic_diagnosis,-0.0036332112406712745
0,0,pathologic_stage_Stage I,0.002562062203032838
0,0,pathologic_stage_Stage IA,-0.0008941043526283465
0,0,pathologic_stage_Stage IIA,0.0010385210762615315
0,0,pathologic_stage_Stage IIB,-0.002041560272919014
0,0,pathologic_stage_Stage IIIA,-0.0007880146392562893
0,0,pathologic_stage_Stage IIIC,5.829234141856432e-06
0,0,hsa-mir-1-1,0.026540057413091532
0,0,hsa-mir-1-2,-0.007626247255212878
0,0,hsa-mir-105-1,0.0066890047891670955
0,0,hsa-mir-105-2,-0.014988360815013152
0,0,hsa-mir-1179,-0.016169512699126812
0,0,hsa-mir-1181,-0.004449414609050805
0,0,hsa-mir-1185-1,-0.00025628449443544106
0,0,hsa-mir-1185-2,-0.002305761653019059
0,0,hsa-mir-1197,0.00406377001441384
0,0,hsa-mir-122,-0.0016081760171809717
0,0,hsa-mir-1224,-0.018617561785454595
0,0,hsa-mir-1225,0.012088470336863657
0,0,hsa-mir-1226,-0.006586008664365476
0,0,hsa-mir-1227,0.0027886594925913876
0,0,hsa-mir-1228,0.006544312015873445
0,0,hsa-mir-1229,0.0009932965511402984
0,0,hsa-mir-1231,0.0001512042937629981
0,0,hsa-mir-1234,-4.247866730172557e-05
0,0,hsa-mir-1236,0.0018813703929901281
0,0,hsa-mir-1237,-0.0070953275100088505
0,0,hsa-mir-1238,0.015879513389998833
0,0,hsa-mir-124-1,0.0050879669572279455
0,0,hsa-mir-124-2,-0.00523888369116338
0,0,hsa-mir-124-3,-0.012296681246493657
0,0,hsa-mir-1243,-0.0034650768077774136
0,0,hsa-mir-1245a,-0.012113199592063558
0,0,hsa-mir-1245b,-0.005097152953900968
0,0,hsa-mir-1246,0.015829355497408062
0,0,hsa-mir-1247,0.00034786427665504395
0,0,hsa-mir-1248,0.00725309647008546
0,0,hsa-mir-1249,0.003610744333881172
0,0,hsa-mir-1250,-0.019273392708984947
0,0,hsa-mir-1251,-0.001738588742770866
0,0,hsa-mir-1252,0.018079390173770245
0,0,hsa-mir-1254-1,-0.019685192818337475
0,0,hsa-mir-1254-2,0.005259675841173424
0,0,hsa-mir-1255a,0.061762880325778674
0,0,hsa-mir-1256,-0.008380339902925426
0,0,hsa-mir-1257,0.005290681870951992
0,0,hsa-mir-1258,0.020886485570214535
0,0,hsa-mir-1260b,0.003690890493120267
0,0,hsa-mir-1262,0.003572306567313666
0,0,hsa-mir-1265,-0.00597599908043583
0,0,hsa-mir-1269a,0.03223446561286587
0,0,hsa-mir-1269b,-0.006634969523075894
0,0,hsa-mir-1270,-0.0013930673116976328
0,0,hsa-mir-1271,-0.0049364783635939624
0,0,hsa-mir-1273h,-0.003139672946471063
0,0,hsa-mir-1275,-0.0004807516305580649
0,0,hsa-mir-1276,-0.0031682622711966973
0,1,age_at_initial_pathologic_diagnosis,-0.003787856054416303
0,1,pathologic_stage_Stage I,0.0008895456767641008
0,1,pathologic_stage_Stage IA,-0.0005752539256354794
0,1,pathologic_stage_Stage IIA,0.00012761512043653057
0,1,pathologic_stage_Stage IIB,0.010295737974665826
0,1,pathologic_stage_Stage IIIA,-0.0010059943384840154
0,1,pathologic_stage_Stage IIIC,-3.825296502327547e-05
0,1,hsa-mir-1-1,-0.0021682387989983352
0,1,hsa-mir-1-2,0.008233488574756007
0,1,hsa-mir-105-1,0.014583554341704233
0,1,hsa-mir-105-2,-0.011667110634670868
0,1,hsa-mir-1179,0.004623544194093187
0,1,hsa-mir-1181,-0.010476310447596426
0,1,hsa-mir-1185-1,-0.009710781639791872
0,1,hsa-mir-1185-2,-0.006086159245575325
0,1,hsa-mir-1197,-0.015582841832265276
0,1,hsa-mir-122,-0.02522161217134423
0,1,hsa-mir-1224,0.001849767739834729
0,1,hsa-mir-1225,-0.0009837738467814718
0,1,hsa-mir-1226,0.0036370486882146853
0,1,hsa-mir-1227,0.0033016995072427035
0,1,hsa-mir-1228,-0.007984427528069764
0,1,hsa-mir-1229,-0.006120784139955335
0,1,hsa-mir-1231,0.0026276532912571913
0,1,hsa-mir-1234,0.0031345025618621696
0,1,hsa-mir-1236,0.008672188581898797
0,1,hsa-mir-1237,0.0037748757780917863
0,1,hsa-mir-1238,0.012017195437706378
0,1,hsa-mir-124-1,-0.01282526343203041
0,1,hsa-mir-124-2,-0.005846029203657363
